tag,step,wall_time,value
loss/val_denorm_lead_var/sithick/lead_01,15,1782884382.5612361,0.005371287930756807
loss/val_denorm_lead_var/so/lead_01,15,1782884382.641736,0.009454566054046154
loss/val_denorm_lead_var/thetao/lead_01,15,1782884382.6055589,0.037826210260391235
loss/val_denorm_lead_var/uo/lead_01,15,1782884382.653492,0.010444986633956432
loss/val_denorm_lead_var/vo/lead_01,15,1782884382.6788225,0.01077233999967575
loss/val_denorm_lead_var/zos/lead_01,15,1782884382.5835044,0.007357003167271614
loss/val_denorm_var/siconc,15,1782884382.4916584,0.003553158836439252
loss/val_denorm_var/sithick,15,1782884382.553791,0.005371287930756807
loss/val_denorm_var/so,15,1782884382.621679,0.009454566054046154
loss/val_denorm_var/thetao,15,1782884382.595705,0.037826210260391235
loss/val_denorm_var/uo,15,1782884382.6476667,0.010444986633956432
loss/val_denorm_var/vo,15,1782884382.6597242,0.01077233999967575
loss/val_denorm_var/zos,15,1782884382.572422,0.007357003167271614
loss/val_lead/lead_01,15,1782884382.4916358,0.0012477104319259524
loss/val_lead_var/siconc/lead_01,15,1782884382.4920409,0.003553155343979597
loss/val_lead_var/sithick/lead_01,15,1782884382.5563228,0.0007047366234473884
loss/val_lead_var/so/lead_01,15,1782884382.6321728,0.00029142439598217607
loss/val_lead_var/thetao/lead_01,15,1782884382.6000214,0.0011281700571998954
loss/val_lead_var/uo/lead_01,15,1782884382.6497438,0.005088282283395529
loss/val_lead_var/vo/lead_01,15,1782884382.661725,0.005373601336032152
loss/val_lead_var/zos/lead_01,15,1782884382.5764832,0.0018974450649693608
loss/val_norm,15,1782884382.4916112,0.0012477104319259524
loss/val_norm_lead/lead_01,15,1782884382.4916403,0.0012477104319259524
loss/val_norm_lead_var/siconc/lead_01,15,1782884382.5018399,0.003553155343979597
loss/val_norm_lead_var/sithick/lead_01,15,1782884382.5591512,0.0007047366234473884
loss/val_norm_lead_var/so/lead_01,15,1782884382.638975,0.00029142439598217607
loss/val_norm_lead_var/thetao/lead_01,15,1782884382.6025395,0.0011281700571998954
loss/val_norm_lead_var/uo/lead_01,15,1782884382.6518788,0.005088282283395529
loss/val_norm_lead_var/vo/lead_01,15,1782884382.6656497,0.005373601336032152
loss/val_norm_lead_var/zos/lead_01,15,1782884382.579861,0.0018974450649693608
loss/val_norm_var/siconc,15,1782884382.4916542,0.003553155343979597
loss/val_norm_var/sithick,15,1782884382.5511925,0.0007047366234473884
loss/val_norm_var/so,15,1782884382.6138532,0.00029142439598217607
loss/val_norm_var/thetao,15,1782884382.5919366,0.0011281700571998954
loss/val_norm_var/uo,15,1782884382.6455245,0.005088282283395529
loss/val_norm_var/vo,15,1782884382.6573024,0.005373601336032152
loss/val_norm_var/zos,15,1782884382.5689552,0.0018974450649693608
loss/val_var/siconc,15,1782884382.4916499,0.003553155343979597
